Tipo;Producto;Código NCM;Unidades;Acumulado a mayo 2015;Acumulado a mayo 2016;Acumulado a mayo 2017
Alimentos de origen vegetal;Carne porcina fresca, refrigerada o congelada  ;NCM 0203;Kilos; 4.186.401   ; 8.451.920   ; 14.658.281   
Alimentos de origen vegetal;Bondiola ;NCM 0203.29.00.994R;Kilos; 364.972   ; 2.010.290   ; 3.016.289   
Alimentos de origen vegetal;Jamón crudo ;NCM 0210.19.00;Kilos; 27.867   ; 122.797   ; 252.662   
Alimentos de origen vegetal;Pollos trozados ;NCM 0207.14;Kilos; 95.190   ; 2.354.310   ; 1.159.770   
Alimentos de origen vegetal;Quesos general ;NCM 0406;Kilos; 479.750   ; 549.718   ; 1.631.615   
Alimentos de origen vegetal;Queso crema ;NCM 0406.10.90.2;Kilos; 23.794   ; 49.465   ; 153.512   
Alimentos de origen vegetal;Queso fundido ;NCM 0406.30;Kilos; 367.348   ; 389.756   ; 1.369.541   
Alimentos de origen vegetal;Queso azul ;NCM 0406.40;Kilos; 70   ; 2.601   ; 9.367   
Alimentos de origen vegetal;Manteca ;NCM 0405.10.00;Kilos; -     ; 48.570   ; 392.488   
Alimentos de origen vegetal;Batatas  ;NCM 0714.20.00;Kilos; -     ; -     ; 1.099.780   
Alimentos de origen vegetal;Cebollas ;NCM 0703.10.19;Kilos; 238   ; 81.000   ; 164.980   
Alimentos de origen vegetal;Zanahorias ;NCM 0706.10;Kilos; -     ; 1.331.800   ; 1.547.980   
Alimentos de origen vegetal;Naranjas ;NCM 0805.1;Kilos; -     ; 3.542.087   ; 2.342.946   
Alimentos enlatados;Pulpa de frutilla ;NCM 2008.80;Kilos; 9.605   ; 45.369   ; 56.405   
Alimentos enlatados;Maíz en lata ;NCM 2005.80.00;Kilos; 2.198.294   ; 2.444.963   ; 4.872.232   
Alimentos enlatados;Jardinera -mezcla- ;NCM 2005.99.00.180B;Kilos; 20.736   ; 227.613   ; 289.621   
Alimentos enlatados;Zanahorias en lata ;NCM 2005.99.00.190E;Kilos; 14.559   ; 37.974   ; 55.424   
Alimentos enlatados;Tomates enteros o en trozos, preparados o conservados ;NCM 2002.10;Kilos; 608.450   ; 615.854   ; 7.254.110   
Golosinas;Chupetines ;NCM 1704.90.20.130Q;Kilos; 273.367   ; 580.048   ; 301.423   
Golosinas;Chicles ;NCM 1704.10.00.000T;Kilos; 581.821   ; 750.818   ; 669.517   
Golosinas;Caramelos duros ;NCM 1704.90.20.11;Kilos; 46.377   ; 92.277   ; 507.822   
Golosinas;Caramelos blandos ;NCM 1704.90.20.12;Kilos; 534.093   ; 1.651.642   ; 1.873.417   
Productos químicos;Sílica precipitada amorfa ;NCM  2811.22.10.000W;Kilos; 2.253.034   ; 2.473.595   ; 2.154.409   
Productos químicos;Glifosato formulado ;NCM 3808.93.24.100V;Kilos; 2.358.160   ; 1.690.053   ; 2.364.084   
Artículos de librería;Cuadernos ;NCM  4820.20.00;    Unidades  ; 40.361   ; 1.494.613   ; 1.400.664   
Artículos de librería;Carpetas ;NCM 4820.30.00.300M;Unidades; 306.596   ; 922.602   ; 1.154.803   
Instrumentos de óptica;Monturas -armazones- de gafas ;NCM 9003.1;Unidades ; 276.119   ; 301.836   ; 802.316   
Instrumentos de óptica;Anteojos de sol ;NCM 9004.10;Unidades; 55.561   ; 82.037   ; 262.716   
Electrodomésticos y linea blanca;Planchas a vapor ;NCM 8516.40.00.200B;Unidades; 24.793   ; 27.354   ; 45.167   
Electrodomésticos y linea blanca;Licuadoras ;NCM 8509.40.10.000K;Unidades; 46.831   ; 90.720   ; 331.132   
Electrodomésticos y linea blanca;Heladeras ;NCM 8418.10;Unidades; 13.235   ; 38.565   ; 43.071   
Electrodomésticos y linea blanca;Exhibidoras ;NCM 8418.50;Unidades; 908   ; 1.818   ; 6.977   
Electrodomésticos y linea blanca;Ventiladores de pie ;NCM 8414.51.90.100R;Unidades; 37.991   ; 13.214   ; 38.715   
Electrodomésticos y linea blanca;Ventiladores de techo ;NCM 8414.51.20;Unidades; 2   ; 322   ; 3.129   
Electrodomésticos y linea blanca;Lavavajillas doméstico ;NCM 8422.11.00.000A;Unidades; -     ; 35.085   ; 4.369   
Electrodomésticos y linea blanca;Calefactores eléctricos ;NCM 8516.29.00;Unidades; 144.114   ; 185.515   ; 124.915   
Electrodomésticos y linea blanca;Aspiradoras ;NCM 8508.1 - 8508.6;Unidades; 207.425   ; 226.608   ; 156.828   
Calzado ;Calzado general ;NCM 6401 AL 6405;Pares; 7.037.883   ; 9.889.440   ; 13.108.059   
Calzado ;Calzado impermeable ;NCM 6401;Pares; 9.307   ; 15.166   ; 6.079   
Calzado ;Calzado de goma ;NCM 6402;Pares; 3.531.832   ; 4.277.146   ; 5.615.503   
Calzado ;Calzado de cuero ;NCM 6403;Pares; 1.636.058   ; 2.043.385   ; 2.053.311   
Calzado ;Calzado textil ;NCM 6404;Pares; 1.853.116   ; 3.527.659   ; 5.426.551   
Calzado ;Los demás calzados ;NCM 6405;Pares; 7.570   ; 26.084   ; 6.615   
Calzado ;Partes de calzado ;NCM 6406;Unidades; 18.509.310   ; 21.886.096   ; 18.365.487   
Vehículos y sus partes;Colectivos ;NCM 8702.10.00.900Q;Unidades; 80   ; 57   ; 211   
Vehículos y sus partes;Motos de menos 125 cm3 ;NCM 8711.20.10;Unidades; 62.758   ; 82.457   ; 100.306   
Vehículos y sus partes;Motos de 125 a 250 cm3 ;NCM 8711.20.20;Unidades; 56.375   ; 76.798   ; 131.529   
Vehículos y sus partes;Autos y camionetas ;NCM 8703;Unidades; 169.770   ; 219.099   ; 266.612   
Vehículos y sus partes;Llantas ;NCM 8708.70.90.29;Unidades; 836.265   ; 832.922   ; 1.101.109   
Muebles de madera;Muebles de oficina ;NCM 9403.30;Unidades; 6.141   ; 4.901   ; 14.392   
Muebles de madera;Muebles de cocina ;NCM 9403.40;Unidades; 8.292   ; 16.313   ; 11.521   
Muebles de madera;Muebles de dormitorio ;NCM 9403.50;Unidades; 14.789   ; 23.942   ; 29.824   
